skin_tone,hair_color,lip_color,eye_color,age,season,dress_shade,lip_shade
olive,black,mauve,violet,60,spring,vibrant colors,berry
olive,blonde,brown,turquoise,49,fall,neutral,nude
ebony,brown,plum,teal,60,spring,bright,red
dark,blonde,plum,turquoise,28,fall,neon,red
ivory,chestnut,pink,teal,58,spring,pastel,peach
ivory,red,pink,black,54,fall,jewel tones,mauve
porcelain,brown,purple,blue,43,winter,pastel,nude
medium,blonde,mauve,amber,43,spring,neutral,rose
ebony,light brown,burgundy,green,65,fall,neutral,nude
ivory,dark brown,red,teal,31,winter,pastel,peach
dark,black,pink,amber,48,fall,jewel tones,plum
tan,platinum,red,blue,15,summer,metallic,bronze
fair,platinum,coral,brown,35,fall,pastel,peach
dark,auburn,peach,gray,69,spring,vibrant colors,berry
porcelain,platinum,burgundy,green,28,fall,neutral,nude
fair,dark brown,pink,black,45,fall,pastel,peach
ebony,chestnut,plum,turquoise,47,fall,monochrome,red
ebony,dark brown,mauve,gray,45,summer,jewel tones,plum
olive,auburn,brown,hazel,51,fall,earth tones,rose
ivory,red,brown,green,24,fall,earth tones,rose
medium,blonde,red,black,29,winter,neutral,peach
deep,blonde,brown,brown,39,spring,neon,mauve
medium,black,coral,teal,24,summer,neutral,rose
fair,black,red,blue,28,winter,earth tones,rose
dark,blonde,red,teal,22,fall,earth tones,berry
deep,dark brown,purple,hazel,48,fall,vibrant colors,berry
tan,blonde,mauve,blue,46,fall,earth tones,rose
olive,dark brown,brown,brown,34,fall,jewel tones,berry
tan,gray,peach,black,69,fall,neutral,coral
medium,platinum,peach,violet,67,winter,jewel tones,berry
deep,auburn,brown,blue,23,summer,earth tones,plum
deep,chestnut,coral,black,37,spring,jewel tones,rose
medium,auburn,red,amber,47,winter,earth tones,rose
ivory,platinum,red,hazel,56,fall,pastel,peach
porcelain,blonde,plum,teal,33,spring,jewel tones,rose
porcelain,gray,peach,amber,27,fall,vibrant colors,cherry
light,dark brown,mauve,amber,40,fall,muted,bronze
dark,gray,purple,hazel,69,summer,vibrant colors,plum
light,dark brown,red,gray,54,fall,jewel tones,rose
ivory,light brown,pink,teal,55,winter,pastel,coral
deep,black,red,turquoise,38,summer,bright,berry
light,light brown,purple,brown,53,summer,pastel,peach
tan,light brown,brown,gray,63,spring,earth tones,berry
olive,brown,red,black,68,summer,earth tones,red
ebony,blonde,pink,turquoise,57,spring,muted,plum
fair,gray,coral,amber,30,winter,monochrome,bronze
light,brown,mauve,blue,61,spring,jewel tones,berry
tan,dark brown,purple,gray,38,summer,vibrant colors,berry
dark,auburn,mauve,turquoise,29,summer,vibrant colors,red
olive,gray,brown,gray,58,summer,pastel,peach
light,chestnut,plum,violet,42,fall,monochrome,rose
light,dark brown,burgundy,turquoise,22,spring,pastel,peach
porcelain,gray,nude,brown,30,winter,vibrant colors,berry
dark,blonde,purple,amber,44,summer,neutral,coral
olive,light brown,red,amber,67,fall,earth tones,berry
ivory,dark brown,mauve,teal,34,spring,muted,mauve
dark,chestnut,mauve,black,22,winter,jewel tones,berry
ivory,black,nude,turquoise,16,winter,neon,nude
olive,black,nude,turquoise,66,spring,vibrant colors,red
porcelain,black,burgundy,gray,52,spring,metallic,bronze
medium,blonde,purple,teal,54,spring,neutral,coral
medium,dark brown,coral,turquoise,17,summer,jewel tones,berry
medium,chestnut,coral,blue,18,summer,vibrant colors,red
olive,dark brown,nude,green,50,summer,jewel tones,berry
ivory,black,brown,blue,40,fall,neutral,coral
light,auburn,plum,green,23,winter,pastel,peach
tan,black,coral,hazel,51,winter,neutral,coral
fair,auburn,pink,green,67,winter,pastel,peach
porcelain,chestnut,plum,black,35,winter,monochrome,bronze
medium,platinum,nude,amber,69,spring,neon,coral
dark,platinum,red,turquoise,64,winter,neutral,peach
deep,blonde,brown,teal,61,winter,neutral,nude
dark,dark brown,nude,brown,60,spring,jewel tones,rose
olive,auburn,coral,blue,60,summer,jewel tones,berry
dark,blonde,brown,gray,39,spring,neon,mauve
dark,dark brown,pink,brown,62,spring,bright,berry
fair,platinum,coral,green,26,spring,neutral,peach
tan,dark brown,nude,teal,29,fall,jewel tones,rose
fair,auburn,brown,brown,26,winter,pastel,coral
porcelain,blonde,peach,hazel,55,fall,neutral,peach
porcelain,brown,red,blue,66,fall,jewel tones,mauve
dark,dark brown,pink,black,17,fall,bright,plum
medium,black,burgundy,green,15,winter,metallic,mauve
tan,dark brown,coral,turquoise,53,spring,vibrant colors,red
ivory,platinum,pink,hazel,26,winter,pastel,coral
light,black,coral,brown,53,fall,bright,cherry
tan,light brown,red,turquoise,47,summer,earth tones,berry
olive,blonde,purple,blue,49,winter,neutral,rose
olive,auburn,nude,hazel,69,winter,vibrant colors,red
deep,black,brown,gray,62,winter,jewel tones,plum
fair,black,brown,teal,19,summer,monochrome,bronze
ivory,auburn,mauve,gray,61,summer,jewel tones,berry
light,auburn,coral,blue,51,spring,muted,bronze
ebony,brown,nude,amber,65,fall,bright,plum
olive,light brown,purple,green,49,winter,earth tones,red
tan,chestnut,mauve,brown,64,winter,neutral,nude
dark,auburn,mauve,turquoise,28,winter,earth tones,plum
porcelain,platinum,burgundy,green,16,fall,neutral,peach
porcelain,black,brown,turquoise,23,fall,vibrant colors,berry
tan,red,nude,teal,29,summer,neutral,peach
light,brown,coral,brown,32,fall,jewel tones,mauve
light,light brown,burgundy,blue,49,spring,pastel,coral
ebony,light brown,red,gray,19,fall,vibrant colors,red
ivory,dark brown,purple,black,43,winter,pastel,nude
ebony,gray,coral,violet,35,winter,metallic,plum
porcelain,chestnut,plum,brown,63,summer,pastel,nude
ebony,blonde,mauve,blue,29,winter,jewel tones,berry
olive,red,coral,gray,25,fall,neutral,nude
ivory,platinum,plum,violet,16,spring,neutral,coral
porcelain,brown,purple,black,32,spring,jewel tones,rose
tan,platinum,plum,gray,49,winter,muted,mauve
olive,platinum,brown,violet,29,fall,vibrant colors,cherry
deep,dark brown,plum,amber,46,fall,bright,berry
porcelain,auburn,coral,amber,43,summer,pastel,peach
light,dark brown,nude,black,42,summer,pastel,peach
tan,light brown,brown,hazel,25,fall,vibrant colors,berry
deep,black,plum,amber,53,summer,vibrant colors,red
porcelain,chestnut,nude,black,26,summer,monochrome,berry
medium,red,coral,amber,41,summer,neutral,coral
ivory,black,nude,violet,36,winter,bright,cherry
olive,light brown,red,turquoise,40,spring,earth tones,red
deep,brown,pink,brown,65,winter,bright,berry
porcelain,black,nude,amber,38,spring,monochrome,red
deep,black,coral,gray,38,summer,jewel tones,berry
light,chestnut,nude,brown,36,spring,neon,peach
tan,brown,purple,blue,56,winter,vibrant colors,cherry
tan,chestnut,peach,amber,27,summer,vibrant colors,red
ebony,blonde,brown,amber,18,spring,neutral,nude
deep,blonde,nude,black,53,fall,vibrant colors,plum
medium,gray,coral,turquoise,41,summer,earth tones,red
ivory,light brown,peach,teal,31,winter,jewel tones,mauve
olive,gray,red,gray,47,fall,monochrome,bronze
olive,platinum,peach,green,24,winter,jewel tones,berry
tan,platinum,nude,violet,39,spring,earth tones,red
olive,red,nude,gray,57,summer,earth tones,rose
porcelain,brown,red,gray,31,winter,jewel tones,mauve
tan,light brown,peach,blue,23,spring,earth tones,berry
ivory,light brown,brown,hazel,19,fall,neutral,peach
porcelain,brown,burgundy,green,24,summer,pastel,peach
olive,black,purple,blue,33,summer,metallic,mauve
porcelain,gray,red,turquoise,60,summer,muted,plum
olive,black,brown,black,46,spring,monochrome,nude
olive,brown,nude,turquoise,55,summer,vibrant colors,berry
dark,black,red,violet,66,winter,vibrant colors,plum
olive,black,red,violet,25,winter,neutral,peach
ivory,platinum,plum,violet,19,winter,neutral,nude
medium,blonde,purple,amber,27,spring,earth tones,rose
light,blonde,peach,black,60,fall,neutral,peach
fair,brown,mauve,black,29,summer,jewel tones,mauve
dark,black,purple,brown,24,spring,bright,red
fair,blonde,mauve,brown,24,spring,neutral,coral
deep,gray,coral,gray,44,spring,metallic,plum
dark,platinum,pink,violet,59,summer,pastel,berry
light,gray,plum,black,29,spring,muted,bronze
olive,auburn,purple,teal,16,spring,vibrant colors,berry
ivory,light brown,red,green,46,winter,pastel,peach
tan,blonde,mauve,violet,30,summer,vibrant colors,cherry
light,red,burgundy,gray,32,spring,earth tones,mauve
ebony,chestnut,coral,green,17,fall,jewel tones,berry
ivory,black,brown,turquoise,27,summer,vibrant colors,cherry
olive,platinum,plum,violet,35,spring,bright,berry
porcelain,brown,coral,turquoise,29,spring,pastel,nude
light,chestnut,red,amber,32,spring,monochrome,red
light,light brown,nude,black,64,spring,neutral,peach
fair,dark brown,coral,amber,64,fall,jewel tones,mauve
ebony,black,peach,green,55,winter,vibrant colors,plum
ivory,platinum,mauve,gray,41,fall,jewel tones,rose
dark,auburn,brown,green,59,fall,bright,red
dark,blonde,mauve,green,52,summer,muted,bronze
tan,brown,plum,teal,24,winter,jewel tones,berry
dark,auburn,purple,green,65,summer,vibrant colors,berry
fair,blonde,peach,black,22,summer,jewel tones,berry
dark,auburn,nude,violet,56,winter,earth tones,plum
dark,platinum,burgundy,turquoise,34,winter,earth tones,rose
deep,chestnut,brown,teal,30,winter,monochrome,nude
medium,platinum,mauve,teal,43,winter,earth tones,red
tan,black,pink,turquoise,34,spring,earth tones,rose
dark,red,plum,brown,19,winter,vibrant colors,plum
fair,light brown,peach,turquoise,30,spring,jewel tones,rose
porcelain,dark brown,peach,blue,55,spring,muted,plum
ivory,blonde,coral,hazel,27,summer,jewel tones,berry
olive,brown,nude,teal,31,spring,jewel tones,berry
light,brown,peach,hazel,43,fall,pastel,coral
ebony,light brown,coral,brown,38,spring,vibrant colors,berry
porcelain,dark brown,pink,hazel,31,summer,pastel,peach
light,brown,red,turquoise,52,winter,muted,plum
tan,dark brown,burgundy,green,17,fall,earth tones,berry
medium,gray,peach,turquoise,26,fall,pastel,peach
porcelain,dark brown,mauve,amber,49,summer,jewel tones,mauve
medium,brown,purple,black,56,summer,jewel tones,red
light,black,brown,green,66,winter,neutral,coral
deep,auburn,brown,amber,45,winter,bright,plum
deep,platinum,plum,green,43,winter,metallic,mauve
fair,platinum,peach,brown,50,winter,neutral,coral
light,platinum,coral,blue,34,fall,neutral,nude
ivory,black,peach,green,17,spring,monochrome,coral
tan,chestnut,peach,hazel,35,spring,neutral,peach
ebony,auburn,burgundy,teal,62,spring,bright,red
deep,light brown,nude,teal,26,fall,metallic,mauve
dark,platinum,pink,gray,52,spring,neon,bronze
medium,red,peach,turquoise,41,spring,earth tones,red
ivory,gray,nude,black,33,winter,neon,berry
deep,auburn,nude,violet,69,winter,vibrant colors,red
porcelain,gray,mauve,turquoise,43,fall,bright,berry
porcelain,black,peach,black,21,summer,monochrome,mauve
dark,chestnut,coral,amber,28,fall,earth tones,berry
tan,brown,plum,gray,19,spring,jewel tones,berry
ebony,blonde,nude,brown,41,spring,metallic,bronze
light,dark brown,plum,hazel,69,spring,muted,mauve
ebony,black,peach,green,48,summer,bright,plum
ivory,blonde,mauve,green,20,summer,pastel,peach
deep,gray,red,hazel,44,spring,metallic,plum
dark,gray,plum,gray,53,winter,vibrant colors,plum
fair,gray,peach,violet,27,winter,vibrant colors,red
medium,chestnut,plum,violet,35,fall,neutral,peach
olive,black,peach,blue,15,summer,neon,plum
dark,auburn,peach,brown,21,winter,vibrant colors,red
fair,light brown,brown,gray,29,spring,jewel tones,rose
fair,auburn,coral,teal,38,spring,muted,mauve
fair,blonde,coral,teal,28,fall,neutral,coral
olive,platinum,burgundy,amber,47,winter,earth tones,berry
fair,dark brown,red,hazel,29,summer,muted,plum
light,light brown,pink,gray,34,winter,jewel tones,rose
dark,red,pink,gray,36,winter,earth tones,rose
dark,gray,brown,teal,36,spring,vibrant colors,red
fair,platinum,red,gray,20,fall,pastel,coral
fair,red,mauve,brown,42,winter,earth tones,mauve
medium,blonde,peach,gray,46,summer,vibrant colors,cherry
porcelain,blonde,purple,blue,30,fall,neutral,coral
ivory,auburn,pink,violet,35,fall,muted,bronze
ivory,auburn,mauve,blue,43,summer,jewel tones,mauve
deep,chestnut,mauve,green,34,spring,bright,berry
ebony,platinum,coral,violet,22,summer,bright,berry
olive,brown,plum,teal,17,winter,vibrant colors,berry
ebony,auburn,nude,blue,21,spring,bright,red
tan,black,red,green,57,spring,jewel tones,red
porcelain,brown,mauve,teal,30,summer,pastel,peach
deep,platinum,plum,turquoise,21,fall,neutral,peach
deep,brown,burgundy,amber,33,summer,vibrant colors,red
ebony,platinum,burgundy,turquoise,30,spring,monochrome,coral
fair,brown,burgundy,violet,51,summer,muted,bronze
ebony,light brown,brown,turquoise,31,fall,muted,bronze
tan,chestnut,mauve,teal,26,winter,earth tones,berry
medium,red,brown,teal,56,fall,vibrant colors,red
tan,auburn,red,green,66,spring,jewel tones,red
deep,red,burgundy,brown,31,winter,earth tones,plum
porcelain,red,coral,violet,48,summer,earth tones,rose
medium,dark brown,mauve,blue,27,summer,earth tones,rose
olive,brown,pink,amber,59,spring,jewel tones,red
dark,brown,pink,violet,61,winter,vibrant colors,berry
olive,chestnut,nude,amber,30,summer,vibrant colors,berry
ivory,black,plum,teal,30,summer,monochrome,plum
light,platinum,purple,black,46,summer,jewel tones,rose
ebony,blonde,coral,hazel,50,spring,metallic,mauve
ivory,gray,purple,gray,41,winter,bright,cherry
tan,brown,coral,green,51,winter,vibrant colors,berry
light,blonde,brown,violet,58,winter,pastel,nude
medium,auburn,pink,black,40,winter,earth tones,berry
dark,red,coral,turquoise,46,winter,earth tones,rose
porcelain,red,coral,violet,48,spring,earth tones,rose
porcelain,chestnut,purple,gray,35,summer,earth tones,berry
light,platinum,coral,hazel,16,summer,jewel tones,rose
fair,blonde,peach,blue,64,spring,neutral,coral
ebony,auburn,brown,teal,44,summer,earth tones,rose
porcelain,dark brown,coral,brown,53,winter,jewel tones,berry
ebony,chestnut,nude,amber,55,fall,vibrant colors,berry
dark,brown,red,brown,36,fall,earth tones,berry
dark,dark brown,coral,amber,62,spring,vibrant colors,red
ivory,platinum,burgundy,black,65,winter,pastel,nude
dark,dark brown,burgundy,green,37,winter,jewel tones,plum
tan,light brown,burgundy,teal,41,winter,vibrant colors,red
porcelain,platinum,peach,brown,24,fall,jewel tones,berry
light,red,burgundy,turquoise,38,spring,earth tones,mauve
deep,chestnut,red,hazel,33,spring,pastel,peach
medium,platinum,brown,teal,68,spring,neutral,nude
tan,black,brown,amber,16,winter,neutral,nude
fair,black,brown,brown,69,summer,neon,red
olive,red,brown,amber,37,fall,neutral,nude
fair,gray,burgundy,blue,18,summer,bright,berry
fair,auburn,coral,turquoise,69,fall,muted,plum
deep,gray,coral,teal,29,summer,metallic,plum
ivory,dark brown,mauve,gray,18,spring,jewel tones,rose
olive,gray,purple,brown,49,summer,earth tones,red
fair,red,coral,turquoise,36,winter,jewel tones,rose
porcelain,brown,red,brown,34,fall,jewel tones,berry
deep,gray,nude,blue,46,spring,metallic,bronze
ebony,auburn,mauve,teal,24,winter,earth tones,rose
olive,dark brown,burgundy,gray,53,summer,earth tones,berry
porcelain,gray,mauve,brown,22,fall,neutral,peach
ebony,gray,red,blue,69,fall,vibrant colors,red
fair,red,coral,violet,41,summer,jewel tones,mauve
ebony,blonde,coral,violet,47,fall,vibrant colors,plum
olive,chestnut,brown,black,17,fall,vibrant colors,berry
ebony,auburn,coral,gray,56,summer,earth tones,plum
tan,light brown,coral,green,42,summer,neutral,coral
deep,red,brown,hazel,44,summer,bright,berry
dark,platinum,red,brown,51,summer,neutral,berry
porcelain,red,nude,blue,27,fall,neutral,coral
fair,chestnut,red,violet,53,summer,vibrant colors,red
tan,chestnut,red,green,31,summer,vibrant colors,red
porcelain,black,mauve,green,59,fall,jewel tones,rose
dark,blonde,peach,blue,33,spring,vibrant colors,plum
fair,chestnut,brown,amber,55,spring,jewel tones,berry
ivory,platinum,pink,green,62,summer,jewel tones,mauve
ebony,dark brown,mauve,violet,43,summer,vibrant colors,plum
deep,platinum,pink,gray,43,winter,bright,plum
medium,light brown,coral,amber,69,fall,earth tones,rose
ivory,platinum,coral,black,39,winter,jewel tones,rose
olive,blonde,red,blue,63,spring,neutral,coral
olive,brown,nude,black,38,winter,vibrant colors,berry
deep,platinum,red,black,56,winter,neon,cherry
medium,chestnut,brown,gray,21,winter,vibrant colors,red
fair,light brown,nude,amber,50,winter,jewel tones,rose
ebony,platinum,mauve,violet,29,summer,neon,red
olive,auburn,peach,teal,43,winter,vibrant colors,cherry
olive,black,mauve,amber,67,winter,pastel,nude
porcelain,red,nude,turquoise,37,summer,jewel tones,berry
medium,chestnut,mauve,turquoise,37,summer,vibrant colors,cherry
medium,brown,mauve,violet,59,winter,jewel tones,berry
ivory,red,pink,gray,43,fall,jewel tones,berry
fair,auburn,purple,amber,20,winter,jewel tones,mauve
medium,auburn,mauve,green,57,fall,jewel tones,rose
tan,brown,plum,brown,46,summer,earth tones,berry
fair,dark brown,brown,blue,52,winter,muted,mauve
deep,dark brown,purple,blue,23,summer,jewel tones,rose
medium,gray,pink,blue,27,fall,muted,plum
porcelain,blonde,nude,green,34,winter,neutral,nude
porcelain,brown,plum,amber,34,spring,jewel tones,rose
deep,brown,nude,hazel,41,spring,vibrant colors,berry
ivory,light brown,mauve,green,51,winter,neutral,peach
olive,black,mauve,turquoise,50,winter,monochrome,coral
light,auburn,red,teal,26,summer,jewel tones,mauve
ivory,red,coral,turquoise,33,winter,jewel tones,mauve
medium,chestnut,mauve,hazel,20,summer,vibrant colors,red
ivory,brown,burgundy,green,17,summer,pastel,nude
light,black,purple,gray,67,summer,earth tones,berry
porcelain,black,peach,amber,15,summer,neon,rose
ivory,black,burgundy,green,58,spring,bright,cherry
light,blonde,peach,hazel,17,fall,neutral,coral
ebony,blonde,mauve,black,37,winter,monochrome,rose
light,light brown,purple,teal,45,spring,pastel,nude
olive,brown,brown,brown,19,summer,vibrant colors,cherry
medium,black,purple,gray,25,summer,vibrant colors,cherry
deep,blonde,burgundy,black,35,winter,pastel,nude
fair,blonde,pink,blue,51,summer,neutral,peach
fair,gray,pink,amber,33,spring,neutral,coral
porcelain,red,red,violet,69,spring,jewel tones,rose
porcelain,auburn,nude,gray,56,fall,muted,plum
tan,blonde,coral,gray,35,summer,vibrant colors,berry
ebony,brown,plum,brown,48,fall,earth tones,berry
porcelain,red,mauve,green,35,spring,jewel tones,mauve
dark,red,peach,turquoise,61,spring,bright,plum
dark,brown,red,amber,23,summer,vibrant colors,red
olive,black,mauve,violet,35,summer,bright,red
fair,dark brown,mauve,green,45,spring,muted,bronze
ebony,chestnut,purple,blue,50,spring,metallic,plum
dark,gray,pink,blue,40,spring,metallic,bronze
tan,gray,nude,teal,15,spring,pastel,coral
tan,brown,plum,gray,38,spring,vibrant colors,berry
ebony,auburn,burgundy,amber,56,fall,earth tones,rose
light,blonde,nude,teal,57,summer,jewel tones,berry
medium,brown,nude,violet,50,winter,vibrant colors,red
ebony,gray,purple,gray,42,winter,jewel tones,plum
olive,chestnut,coral,teal,16,winter,vibrant colors,red
ivory,platinum,coral,amber,27,fall,neutral,coral
medium,black,plum,brown,31,winter,muted,plum
deep,auburn,peach,amber,50,fall,bright,red
light,blonde,red,amber,58,summer,jewel tones,rose
light,platinum,burgundy,gray,43,summer,pastel,peach
ebony,platinum,plum,black,49,summer,jewel tones,berry
dark,red,purple,black,22,fall,earth tones,plum
olive,gray,nude,black,56,winter,neutral,rose
ebony,chestnut,peach,amber,51,spring,pastel,nude
light,red,plum,teal,22,winter,jewel tones,berry
porcelain,light brown,red,gray,17,fall,neutral,peach
deep,gray,coral,gray,45,summer,jewel tones,rose
deep,black,coral,violet,68,spring,vibrant colors,plum
deep,dark brown,peach,hazel,43,summer,bright,red
ivory,red,brown,gray,69,spring,neutral,peach
ivory,black,peach,brown,31,fall,earth tones,berry
ebony,auburn,mauve,brown,68,spring,earth tones,berry
light,gray,burgundy,amber,35,winter,neutral,coral
fair,black,plum,violet,20,summer,earth tones,rose
ebony,red,mauve,hazel,41,spring,bright,plum
deep,light brown,mauve,gray,46,spring,monochrome,bronze
light,auburn,plum,turquoise,37,summer,jewel tones,berry
medium,brown,mauve,black,37,fall,earth tones,red
ivory,gray,peach,brown,28,winter,metallic,plum
light,red,red,turquoise,18,summer,jewel tones,rose
porcelain,gray,purple,gray,23,summer,pastel,coral
olive,platinum,coral,hazel,47,winter,muted,mauve
dark,light brown,red,brown,41,winter,metallic,bronze
porcelain,platinum,plum,black,22,winter,neutral,nude
tan,platinum,brown,gray,61,fall,jewel tones,rose
deep,brown,brown,brown,61,spring,earth tones,rose
dark,platinum,purple,brown,16,winter,monochrome,plum
porcelain,blonde,peach,hazel,29,summer,jewel tones,mauve
deep,black,peach,brown,19,fall,bright,plum
ivory,platinum,pink,black,60,fall,jewel tones,rose
fair,chestnut,coral,violet,33,summer,neon,mauve
deep,black,purple,brown,49,summer,jewel tones,berry
tan,red,mauve,green,29,spring,neutral,rose
tan,brown,brown,brown,35,winter,jewel tones,rose
porcelain,red,plum,black,54,summer,neutral,nude
fair,brown,coral,blue,67,summer,muted,mauve
ivory,dark brown,peach,blue,61,spring,pastel,coral
medium,black,purple,amber,15,fall,vibrant colors,cherry
light,black,nude,amber,68,winter,monochrome,coral
fair,blonde,peach,gray,29,spring,jewel tones,mauve
tan,light brown,red,blue,35,winter,neutral,peach
light,platinum,coral,blue,33,spring,pastel,nude
dark,dark brown,burgundy,turquoise,36,summer,bright,red
deep,red,peach,gray,39,winter,vibrant colors,berry
deep,dark brown,brown,black,62,summer,bright,berry
light,platinum,mauve,amber,56,summer,neutral,peach
fair,red,peach,violet,63,summer,earth tones,berry
fair,gray,nude,violet,63,fall,muted,plum
fair,blonde,coral,violet,15,winter,pastel,peach
fair,brown,nude,gray,61,summer,muted,bronze
tan,auburn,pink,green,40,spring,earth tones,rose
porcelain,chestnut,purple,black,46,winter,muted,bronze
ivory,platinum,peach,amber,39,summer,jewel tones,rose
olive,brown,nude,turquoise,40,spring,earth tones,red
deep,auburn,pink,green,25,summer,bright,red
tan,black,purple,blue,32,winter,muted,plum
porcelain,red,coral,brown,27,winter,earth tones,berry
ivory,dark brown,burgundy,amber,43,spring,muted,bronze
olive,gray,pink,brown,37,fall,jewel tones,berry
deep,light brown,peach,green,55,fall,monochrome,rose
deep,black,purple,green,36,fall,jewel tones,berry
ebony,dark brown,burgundy,amber,52,summer,jewel tones,berry
fair,light brown,coral,blue,51,winter,pastel,peach
tan,auburn,plum,teal,52,winter,vibrant colors,berry
tan,gray,mauve,turquoise,66,summer,neutral,coral
dark,light brown,pink,green,57,summer,vibrant colors,berry
dark,brown,red,violet,68,fall,vibrant colors,plum
ivory,platinum,brown,turquoise,31,winter,neutral,peach
olive,platinum,peach,turquoise,68,spring,vibrant colors,cherry
ivory,light brown,nude,amber,42,spring,neutral,peach
tan,dark brown,purple,amber,57,summer,vibrant colors,cherry
ebony,platinum,nude,black,69,spring,jewel tones,plum
olive,black,plum,violet,29,winter,monochrome,peach
fair,gray,purple,brown,17,fall,earth tones,berry
medium,blonde,mauve,green,36,fall,neutral,rose
olive,chestnut,pink,green,31,fall,earth tones,red
deep,dark brown,pink,teal,35,winter,bright,red
porcelain,dark brown,coral,violet,47,summer,pastel,coral
porcelain,brown,coral,blue,20,winter,muted,plum
light,red,peach,violet,18,winter,jewel tones,mauve
deep,platinum,nude,black,52,fall,vibrant colors,red
medium,red,burgundy,violet,68,spring,neutral,peach
fair,light brown,red,violet,58,winter,jewel tones,rose
tan,dark brown,red,black,56,summer,vibrant colors,cherry
medium,red,plum,green,62,spring,vibrant colors,red
light,gray,brown,teal,48,spring,vibrant colors,berry
medium,platinum,pink,gray,52,fall,vibrant colors,red
ivory,platinum,pink,hazel,40,summer,pastel,peach
medium,red,purple,blue,62,spring,earth tones,berry
deep,brown,mauve,turquoise,19,summer,earth tones,plum
light,auburn,nude,green,32,fall,pastel,coral
dark,black,nude,teal,58,fall,jewel tones,rose
ivory,blonde,brown,brown,35,summer,jewel tones,berry
tan,black,purple,teal,55,winter,vibrant colors,cherry
ivory,brown,purple,brown,44,spring,jewel tones,berry
medium,chestnut,coral,black,44,fall,neutral,rose
ivory,dark brown,purple,hazel,23,fall,muted,plum
tan,auburn,nude,amber,53,fall,jewel tones,red
deep,red,brown,black,54,summer,earth tones,berry
light,platinum,pink,turquoise,31,fall,jewel tones,mauve
olive,brown,coral,gray,29,fall,jewel tones,rose
porcelain,red,brown,turquoise,63,winter,neutral,peach
porcelain,light brown,brown,green,28,fall,neutral,coral
ivory,black,plum,hazel,18,fall,monochrome,coral
light,dark brown,purple,amber,28,summer,jewel tones,mauve
ivory,platinum,mauve,green,63,summer,neutral,peach
porcelain,platinum,coral,amber,60,summer,neutral,peach
deep,auburn,burgundy,violet,65,summer,vibrant colors,berry
light,gray,plum,brown,28,fall,muted,mauve
olive,black,brown,turquoise,24,fall,monochrome,plum
ebony,platinum,pink,violet,55,fall,neon,berry
ebony,red,peach,turquoise,31,spring,vibrant colors,red
light,gray,red,violet,20,fall,bright,red
light,red,pink,green,18,summer,jewel tones,mauve
medium,red,peach,amber,40,winter,neutral,coral
medium,black,red,violet,40,summer,neutral,nude
porcelain,gray,brown,black,61,summer,metallic,mauve
fair,light brown,burgundy,violet,57,spring,neutral,nude
dark,light brown,burgundy,gray,21,summer,pastel,nude
ebony,auburn,mauve,amber,39,spring,vibrant colors,plum
tan,platinum,burgundy,brown,53,fall,earth tones,berry
light,gray,pink,violet,58,winter,earth tones,rose
light,gray,coral,hazel,40,spring,vibrant colors,berry
dark,light brown,coral,gray,30,fall,earth tones,rose
ivory,chestnut,coral,black,30,summer,earth tones,rose
dark,chestnut,plum,gray,59,fall,bright,plum
ivory,chestnut,brown,turquoise,61,winter,pastel,peach
light,brown,coral,black,51,fall,muted,mauve
ebony,platinum,nude,violet,42,winter,vibrant colors,berry
fair,brown,peach,hazel,24,winter,pastel,nude
medium,dark brown,plum,brown,61,summer,vibrant colors,berry
dark,auburn,peach,green,45,fall,bright,plum
porcelain,red,plum,turquoise,42,summer,earth tones,rose
ivory,brown,burgundy,blue,49,fall,muted,mauve
fair,red,peach,hazel,58,summer,neutral,coral
ebony,red,nude,turquoise,28,fall,bright,red
deep,gray,mauve,teal,42,winter,vibrant colors,plum
fair,blonde,purple,brown,52,winter,pastel,coral
olive,black,coral,teal,68,summer,neutral,rose
medium,gray,burgundy,violet,19,winter,vibrant colors,red
ivory,blonde,nude,green,36,spring,pastel,nude
dark,light brown,red,brown,36,summer,neon,rose
tan,gray,nude,teal,24,fall,neutral,nude
light,chestnut,red,hazel,19,winter,earth tones,mauve
olive,brown,purple,hazel,30,spring,vibrant colors,berry
light,gray,red,hazel,27,summer,neon,cherry
deep,gray,coral,black,25,spring,jewel tones,plum
ebony,brown,coral,turquoise,18,fall,bright,red
ivory,chestnut,brown,hazel,17,spring,bright,berry
ebony,blonde,nude,gray,69,fall,bright,plum
light,platinum,coral,black,39,summer,jewel tones,berry
deep,chestnut,purple,brown,21,spring,muted,bronze
olive,auburn,plum,gray,48,spring,earth tones,berry
tan,platinum,burgundy,teal,17,fall,jewel tones,rose
medium,light brown,mauve,blue,50,fall,earth tones,berry
medium,chestnut,coral,green,60,winter,earth tones,red
ebony,dark brown,burgundy,hazel,32,spring,bright,red
ebony,red,brown,hazel,21,summer,vibrant colors,berry
porcelain,black,mauve,amber,20,winter,earth tones,berry
porcelain,dark brown,brown,amber,24,spring,jewel tones,berry
deep,dark brown,purple,brown,31,summer,vibrant colors,red
deep,chestnut,peach,teal,61,winter,earth tones,berry
light,red,brown,hazel,54,winter,earth tones,mauve
light,black,red,teal,52,winter,muted,bronze
deep,gray,plum,black,15,spring,metallic,plum
tan,light brown,nude,gray,34,summer,neutral,nude
